Ticker,Close,RSI,MACD_Hist,EMA_Cross,PE_Ratio,ROE,Return_3d,Price_vs_EMA20,Volatility_10d,Sector,Last_Updated
RELIANCE.NS,1226.0,37.4,-3.3161,0,22.07,,-0.0116,-0.0258,0.0125,Energy,2026-09-26
TCS.NS,2082.0,32.02,-14.3166,0,15.15,0.4774,-0.0109,-0.0477,0.0177,Technology,2026-09-26
HDFCBANK.NS,735.6,56.37,4.3864,0,15.92,0.1384,-0.0041,0.0167,0.0114,Financial Services,2026-09-26
INFY.NS,1000.2,29.92,-5.3258,0,13.09,0.32,-0.0284,-0.0554,0.0154,Technology,2026-09-26
ICICIBANK.NS,1326.8,28.96,-5.0958,0,17.23,0.1607,-0.0096,-0.0307,0.0076,Financial Services,2026-09-26
HINDUNILVR.NS,1942.9,42.47,4.4605,0,42.92,,0.0047,-0.0087,0.008,Consumer Defensive,2026-09-26
SBIN.NS,983.0,39.59,-0.5374,0,10.46,0.1518,-0.0041,-0.019,0.0142,Financial Services,2026-09-26
BHARTIARTL.NS,1785.4,38.15,-2.649,0,37.6,0.2015,-0.0175,-0.0309,0.017,Communication Services,2026-09-26
ITC.NS,269.0,52.77,1.5076,0,16.92,,0.012,0.0107,0.0127,Consumer Defensive,2026-09-26
KOTAKBANK.NS,,43.41,-1.676,1,19.79,,-0.0236,-0.0187,0.0114,Financial Services,2026-09-26
LT.NS,3876.2,43.86,-2.1876,0,32.05,,0.0025,-0.0107,0.0128,Industrials,2026-09-26
AXISBANK.NS,1222.4,44.66,-3.4587,0,14.41,0.1335,-0.0163,-0.0143,0.0205,Financial Services,2026-09-26
ASIANPAINT.NS,2444.0,39.55,2.5102,0,48.07,,-0.0018,-0.017,0.0156,Basic Materials,2026-09-26
MARUTI.NS,12065.0,29.97,-6.4037,0,26.32,,-0.0103,-0.0347,0.0114,Consumer Cyclical,2026-09-26
SUNPHARMA.NS,,43.2,-0.0139,0,36.81,,-0.0102,-0.012,0.0113,Healthcare,2026-09-26
TITAN.NS,4884.0,45.46,-16.405,1,74.62,,-0.009,-0.0096,0.0147,Consumer Cyclical,2026-09-26
ULTRACEMCO.NS,,45.4,23.2866,0,38.46,,-0.004,-0.0058,0.0139,Basic Materials,2026-09-26
BAJFINANCE.NS,996.9,40.33,-3.3284,0,32.54,,-0.0118,-0.0335,0.0269,Financial Services,2026-09-26
WIPRO.NS,164.02,33.97,-0.2857,0,13.01,0.1613,-0.0119,-0.0309,0.0101,Technology,2026-09-26
ONGC.NS,235.86,49.99,0.5739,0,6.91,,-0.0011,0.0013,0.0104,Energy,2026-09-26
NTPC.NS,326.6,42.54,-0.0273,0,9.97,,-0.0037,-0.0084,0.0086,Utilities,2026-09-26
POWERGRID.NS,269.5,52.01,0.6822,0,13.04,,0.0133,0.0075,0.0149,Utilities,2026-09-26
TECHM.NS,1548.0,45.54,-0.8518,1,26.67,,-0.0023,-0.009,0.0115,Technology,2026-09-26
HCLTECH.NS,1258.0,47.25,0.8842,0,19.34,0.2407,-0.0098,-0.006,0.0167,Technology,2026-09-26
M&M.NS,3035.0,35.06,-5.4562,0,18.15,,-0.0031,-0.0259,0.0127,Consumer Cyclical,2026-09-26
TATASTEEL.NS,187.97,53.42,0.5103,0,21.29,,0.0162,0.0099,0.0149,Basic Materials,2026-09-26
JSWSTEEL.NS,1277.0,48.58,-0.4598,1,12.56,,0.0079,-0.0029,0.0162,Basic Materials,2026-09-26
ADANIENT.NS,,41.92,-2.9382,0,50.79,,-0.0252,-0.0282,0.0208,Energy,2026-09-26
ADANIPORTS.NS,,56.52,6.5066,1,30.53,,-0.001,0.0196,0.021,Industrials,2026-09-26
COALINDIA.NS,426.1,58.05,0.3403,1,8.48,,-0.0044,0.0182,0.0155,Energy,2026-09-26
BAJAJFINSV.NS,1771.0,27.97,-14.1043,0,27.85,,-0.0287,-0.0578,0.0185,Financial Services,2026-09-26
DRREDDY.NS,1201.0,58.11,7.0963,0,30.21,0.0884,-0.0083,0.0177,0.0132,Healthcare,2026-09-26
CIPLA.NS,1399.7,51.51,4.774,0,33.56,,0.0113,0.0062,0.0083,Healthcare,2026-09-26
EICHERMOT.NS,7360.0,31.88,-24.4207,0,34.96,,-0.009,-0.0288,0.0081,Consumer Cyclical,2026-09-26
GRASIM.NS,,42.43,-12.2791,1,38.03,,0.0002,-0.0181,0.0148,Basic Materials,2026-09-26
HINDALCO.NS,977.0,43.64,-1.0444,0,13.32,,0.0041,-0.0171,0.0165,Basic Materials,2026-09-26
NESTLEIND.NS,1362.6,39.5,-0.376,0,68.51,,-0.001,-0.0221,0.0147,Consumer Defensive,2026-09-26
